iter	Passed	Remaining
0	9	954
1	25	1236
2	44	1430
3	62	1489
4	80	1526
5	98	1550
6	117	1557
7	137	1579
8	155	1567
9	173	1561
10	192	1555
11	210	1541
12	229	1532
13	247	1520
14	265	1506
15	282	1484
16	302	1476
17	320	1460
18	339	1448
19	359	1436
20	376	1416
21	395	1403
22	413	1385
23	432	1368
24	451	1353
25	470	1337
26	488	1321
27	505	1300
28	525	1285
29	543	1268
30	562	1252
31	582	1237
32	600	1219
33	620	1203
34	638	1186
35	656	1167
36	675	1150
37	692	1129
38	711	1112
39	730	1095
40	748	1077
41	768	1060
42	787	1043
43	806	1026
44	825	1009
45	845	992
46	864	974
47	881	955
48	900	937
49	919	919
50	938	901
51	958	884
52	975	865
53	993	846
54	1012	828
55	1031	810
56	1050	792
57	1067	773
58	1086	755
59	1105	736
60	1123	718
61	1142	700
62	1160	681
63	1181	664
64	1199	645
65	1217	627
66	1238	609
67	1256	591
68	1275	573
69	1293	554
70	1313	536
71	1332	518
72	1351	500
73	1370	481
74	1387	462
75	1407	444
76	1426	426
77	1445	407
78	1465	389
79	1483	370
80	1503	352
81	1523	334
82	1541	315
83	1560	297
84	1579	278
85	1598	260
86	1618	241
87	1637	223
88	1656	204
89	1673	185
90	1693	167
91	1712	148
92	1731	130
93	1751	111
94	1769	93
95	1789	74
96	1808	55
97	1826	37
98	1845	18
99	1864	0
