iter	Accuracy	Logloss
0	0.7029400772	0.6866160638
1	0.706552884	0.6804159204
2	0.706552884	0.674396181
3	0.7066151738	0.6686900139
4	0.7066151738	0.6634665284
5	0.7066151738	0.6588896022
6	0.706552884	0.6542136981
7	0.706552884	0.6497460581
8	0.706552884	0.6453789781
9	0.706552884	0.6412564136
10	0.706552884	0.6375377117
11	0.706552884	0.6338895638
12	0.706552884	0.6304118518
13	0.706552884	0.6268463841
14	0.7066151738	0.623813651
15	0.706552884	0.6209236815
16	0.7066151738	0.6182267159
17	0.7066151738	0.6156342045
18	0.7066151738	0.6132068941
19	0.7066151738	0.6106775702
20	0.7066151738	0.6084431178
21	0.7066151738	0.6063320161
22	0.7066151738	0.6042520798
23	0.7066151738	0.6022028515
24	0.7066151738	0.600253108
25	0.706552884	0.5985162392
26	0.706552884	0.5970173271
27	0.706552884	0.5953803965
28	0.706552884	0.5939508807
29	0.706552884	0.5924377248
30	0.706552884	0.5911033344
31	0.706552884	0.5900068244
32	0.706552884	0.5889091369
33	0.706552884	0.5878086772
34	0.7066151738	0.5866667398
35	0.7066151738	0.5855724593
36	0.706552884	0.584573997
37	0.706552884	0.5836932012
38	0.706552884	0.582767525
39	0.706552884	0.5819768171
40	0.706552884	0.581086496
41	0.706552884	0.5803136208
42	0.706552884	0.5796153782
43	0.706552884	0.5788591974
44	0.706552884	0.5782818637
45	0.706552884	0.5775004018
46	0.706552884	0.5769054551
47	0.706552884	0.5763003069
48	0.706552884	0.5758294994
49	0.706552884	0.5753978491
50	0.706552884	0.5748004308
51	0.706552884	0.574238429
52	0.706552884	0.5738134388
53	0.706552884	0.5733557251
54	0.7066151738	0.572965766
55	0.7066151738	0.5725920252
56	0.706552884	0.5721543002
57	0.706552884	0.5717926469
58	0.706552884	0.5714227655
59	0.706552884	0.571135529
60	0.706552884	0.5707581909
61	0.706552884	0.5704828126
62	0.706552884	0.5702127087
63	0.7066151738	0.5700602864
64	0.7066151738	0.5697328019
65	0.706552884	0.5694260304
66	0.7066151738	0.5691692266
67	0.7066151738	0.5688416995
68	0.7066151738	0.5685938493
69	0.7066151738	0.5683394586
70	0.7066151738	0.5681367077
71	0.7066151738	0.56796458
72	0.7066151738	0.5676991941
73	0.7066151738	0.5674730216
74	0.7066151738	0.5672926469
75	0.7066151738	0.5670815467
76	0.7066151738	0.5668484961
77	0.7066151738	0.5666494169
78	0.7066151738	0.5664521253
79	0.7066151738	0.5662520548
80	0.7066151738	0.5661157617
81	0.7066151738	0.5659713425
82	0.7066151738	0.5659160148
83	0.7066151738	0.5657042196
84	0.7066151738	0.5655757575
85	0.7066151738	0.5654835188
86	0.7066151738	0.5654218176
87	0.7066151738	0.5652758591
88	0.7066151738	0.5652222203
89	0.7066151738	0.5651426445
90	0.7066151738	0.5650390331
91	0.7066151738	0.5648912693
92	0.7066151738	0.5648001524
93	0.7066151738	0.5646842568
94	0.7066151738	0.5646123621
95	0.7066151738	0.5645089529
96	0.7066151738	0.5644395184
97	0.7066151738	0.56432429
98	0.7066151738	0.5642406659
99	0.7066151738	0.5641802495
100	0.7066151738	0.5641046555
101	0.7066151738	0.5640119876
102	0.7066151738	0.5639353098
103	0.7066151738	0.5638610262
104	0.7066151738	0.5637903415
105	0.7066151738	0.5637588114
106	0.7066151738	0.5636917303
107	0.7066151738	0.5636232651
108	0.7066151738	0.563561335
109	0.7066151738	0.5635088172
110	0.7066151738	0.5634118982
111	0.7066151738	0.5633637468
112	0.7066151738	0.5632948137
113	0.7066151738	0.5632548906
114	0.7066151738	0.5632380117
115	0.7066151738	0.5631904755
116	0.7066151738	0.5631402083
117	0.7066151738	0.5631034099
118	0.7066151738	0.5630558896
119	0.7066151738	0.5630076704
120	0.7066151738	0.5629697223
121	0.7066151738	0.5629357405
122	0.7066151738	0.5629228283
123	0.7066151738	0.5629126165
124	0.7066151738	0.5628736038
125	0.7066151738	0.5628128179
126	0.7066151738	0.5627271105
127	0.7066151738	0.5627090763
128	0.7066151738	0.5626745397
129	0.7066151738	0.5626163139
130	0.7066151738	0.5625884546
131	0.7066151738	0.5625845795
132	0.7066151738	0.5625781073
133	0.7066151738	0.562541565
134	0.7066151738	0.562495651
135	0.7066151738	0.5624655755
136	0.7066151738	0.5624416634
137	0.7066151738	0.5624142691
138	0.7066151738	0.5623937382
139	0.7066151738	0.5623886479
140	0.7066151738	0.5623855805
141	0.7066151738	0.5623815651
142	0.7066151738	0.5623568644
143	0.7066151738	0.5623363306
144	0.7066151738	0.5623122836
145	0.7066151738	0.5622892869
146	0.7066151738	0.562260917
147	0.7066151738	0.5622581243
148	0.7066151738	0.5622264165
149	0.7066151738	0.5622115904
150	0.7066151738	0.5621894822
151	0.7066151738	0.5621597377
152	0.7066151738	0.5621442996
153	0.7066151738	0.5621224086
154	0.7066151738	0.562110415
155	0.7066151738	0.5621062686
156	0.7066151738	0.5620891356
157	0.7066151738	0.5620752547
158	0.7066151738	0.5620672474
159	0.7066151738	0.5620645615
160	0.7066151738	0.562061176
161	0.7066151738	0.5620529977
162	0.7066151738	0.5620276759
163	0.7066151738	0.5620221363
164	0.7066151738	0.562008606
165	0.7066151738	0.5619909841
166	0.7066151738	0.5619446176
167	0.7066151738	0.561938304
168	0.7066151738	0.5619269467
169	0.7066151738	0.5619122474
170	0.7066151738	0.5619048015
171	0.7066151738	0.5618846628
172	0.7066151738	0.561870907
173	0.7066151738	0.5618701752
174	0.7066151738	0.5618525715
175	0.7066151738	0.5618372178
176	0.7066151738	0.5618313836
177	0.7066151738	0.5618305677
178	0.7066151738	0.5618149475
179	0.7066151738	0.5618027069
180	0.7066151738	0.5617985774
181	0.7066151738	0.561787073
182	0.7066151738	0.5617797265
183	0.7066151738	0.5617758881
184	0.7066151738	0.5617720182
185	0.7066151738	0.5617548611
186	0.7066151738	0.5617459973
187	0.7066151738	0.5617410785
188	0.7066151738	0.5617309149
189	0.7066151738	0.5617277042
190	0.7066151738	0.5617232692
191	0.7066151738	0.5617160411
192	0.7066151738	0.5617116409
193	0.7066151738	0.5616978873
194	0.7066151738	0.561691203
195	0.7066151738	0.561682434
196	0.7066151738	0.5616644609
197	0.7066151738	0.561663299
198	0.7066151738	0.5616559027
199	0.7066151738	0.5616521443
200	0.7066151738	0.5616421719
201	0.7066151738	0.5616291713
202	0.7066151738	0.5616261668
203	0.7066151738	0.5616176466
204	0.7066151738	0.5616039615
205	0.7066151738	0.5616031264
206	0.7066151738	0.5616002343
207	0.7067397533	0.5615712063
208	0.7067397533	0.5615646158
209	0.7067397533	0.5615609909
210	0.7067397533	0.5615548761
211	0.7067397533	0.561553987
212	0.7067397533	0.5615508543
213	0.7067397533	0.5615490522
214	0.7067397533	0.561548483
215	0.7067397533	0.5615426984
216	0.7067397533	0.561537505
217	0.7067397533	0.5615347071
218	0.7067397533	0.5615343791
219	0.7067397533	0.5615301196
220	0.7067397533	0.5615266005
221	0.7067397533	0.5615206051
222	0.7067397533	0.5615154384
223	0.7067397533	0.5615147181
224	0.7067397533	0.5615104824
225	0.7067397533	0.5615059308
226	0.7067397533	0.5614969552
227	0.7067397533	0.5614732585
228	0.7067397533	0.5614662376
229	0.7067397533	0.561460269
230	0.7067397533	0.5614576424
231	0.7067397533	0.5614414935
232	0.7067397533	0.561436057
233	0.7067397533	0.5614336029
234	0.7067397533	0.5614289896
235	0.7067397533	0.5614268927
236	0.7067397533	0.5614247504
237	0.7067397533	0.5614176277
238	0.7067397533	0.5614113058
239	0.7067397533	0.5614100933
240	0.7067397533	0.5614053573
241	0.7067397533	0.5614053356
242	0.7067397533	0.56140174
243	0.7067397533	0.5614005048
244	0.7067397533	0.5613989246
245	0.7067397533	0.5613954124
246	0.7067397533	0.5613949602
247	0.7067397533	0.5613860746
