iter	Passed	Remaining
0	20	20813
1	41	20461
2	60	20135
3	80	20122
4	100	20052
5	120	19918
6	138	19687
7	157	19561
8	177	19503
9	196	19415
10	214	19293
11	232	19146
12	252	19151
13	271	19115
14	290	19050
15	308	18974
16	326	18874
17	345	18823
18	364	18842
19	383	18815
20	402	18760
21	420	18675
22	440	18709
23	461	18752
24	477	18627
25	496	18597
26	515	18580
27	535	18590
28	555	18605
29	574	18578
30	592	18526
31	611	18512
32	633	18548
33	650	18494
34	670	18478
35	689	18456
36	707	18419
37	727	18411
38	745	18369
39	765	18370
40	784	18351
41	804	18349
42	823	18329
43	842	18299
44	860	18260
45	878	18223
46	898	18211
47	916	18169
48	935	18148
49	954	18137
50	972	18101
51	991	18079
52	1015	18147
53	1035	18143
54	1056	18146
55	1075	18136
56	1094	18110
57	1112	18069
58	1130	18037
59	1151	18039
60	1168	17984
61	1186	17957
62	1205	17925
63	1224	17901
64	1242	17874
65	1261	17851
66	1279	17816
67	1298	17799
68	1318	17785
69	1336	17758
70	1354	17727
71	1374	17721
72	1393	17690
73	1411	17657
74	1432	17661
75	1449	17623
76	1468	17600
77	1486	17572
78	1506	17562
79	1525	17540
80	1543	17506
81	1562	17489
82	1583	17492
83	1602	17474
84	1622	17463
85	1641	17440
86	1661	17439
87	1681	17428
88	1700	17404
89	1718	17376
90	1736	17344
91	1754	17320
92	1773	17300
93	1792	17272
94	1809	17239
95	1828	17215
96	1846	17192
97	1865	17173
98	1884	17151
99	1903	17129
100	1921	17103
101	1941	17093
102	1960	17074
103	1979	17054
104	1997	17022
105	2016	17004
106	2034	16975
107	2053	16959
108	2072	16940
109	2091	16924
110	2112	16919
111	2132	16910
112	2151	16889
113	2171	16875
114	2190	16857
115	2208	16830
116	2227	16812
117	2246	16791
118	2266	16781
119	2284	16753
120	2304	16741
121	2323	16724
122	2341	16692
123	2360	16672
124	2377	16643
125	2397	16630
126	2417	16618
127	2436	16601
128	2456	16587
129	2475	16568
130	2494	16547
131	2513	16526
132	2532	16506
133	2551	16492
134	2571	16474
135	2589	16452
136	2609	16438
137	2627	16414
138	2646	16391
139	2664	16370
140	2683	16347
141	2702	16330
142	2720	16304
143	2739	16285
144	2756	16254
145	2775	16232
146	2793	16212
147	2812	16191
148	2833	16180
149	2851	16157
150	2870	16138
151	2889	16122
152	2909	16104
153	2927	16082
154	2946	16064
155	2966	16048
156	2984	16024
